geneSYM-ensembl,gs-vs-gc log2FC,gs-vs-gc FDR,,,
Mir340,0.005424017,NA,,,
Nkx6-1,0.005424017,NA,,,
Orm3,0.005424017,NA,,,
Pramef6,0.005424017,NA,,,
Prl8a2,0.005424017,NA,,,
RP23-105I10.9,0.005424017,NA,,,
RP23-112A11.1,0.005424017,NA,,,
RP23-222G22.5,0.005424017,NA,,,
RP23-307B15.3,0.005424017,NA,,,
RP23-35F19.4,0.005424017,NA,,,
RP23-376G22.1,0.005424017,NA,,,
RP23-441L19.2,0.005424017,NA,,,
RP23-64F2.1,0.005424017,NA,,,
RP24-286J21.3,0.005424017,NA,,,
Slc16a8,0.005424017,NA,,,
Thsd7b,0.005424017,NA,,,
RP23-32L15.2,0.005422098,0.97627974,,,
Prkcsh,0.005402576,0.960218237,,,
Bsn,0.005399375,NA,,,
Rab34,0.005337335,0.966512162,,,
Slc25a53,0.00532744,0.985464764,,,
Fbxl18,0.005296757,0.971985709,,,
Grsf1,0.005292045,0.958807981,,,
RP23-302H1.2,0.005286546,NA,,,
RP24-75N14.3,0.00525293,0.98574547,,,
Sgsm3,0.005216467,0.980487632,,,
RP23-480D17.3,0.005190517,NA,,,
Zfp169,0.00518182,0.983611693,,,
RP23-370G17.3,0.005176656,NA,,,
Dnaic2,0.005167362,NA,,,
Ptpn7,0.005167362,NA,,,
RP23-344D2.3,0.005167362,NA,,,
RP23-83P5.5,0.005167362,NA,,,
RP24-140A15.2,0.005167362,NA,,,
RP24-63F2.2,0.005167362,NA,,,
Uqcrb,0.005123247,0.96935176,,,
RP23-459K15.9,0.005070913,NA,,,
Hgfac,0.00506508,0.985841563,,,
Cox5b,0.005060026,0.964076334,,,
Stk11ip,0.005041119,0.973570217,,,
Alox12b,0.005032701,NA,,,
Pecam1,0.005005061,0.986699505,,,
RP23-220N17.6,0.004944376,NA,,,
RP24-404P10.6,0.004917588,NA,,,
Nova2,0.004867796,NA,,,
Irgm1,0.004862203,0.980993641,,,
Gm23388,0.004823346,NA,,,
Tmem126a,0.004812228,0.975286471,,,
Yam1,0.004811699,NA,,,
Olfr571,0.004799506,NA,,,
RP23-191F22.5,0.004789395,NA,,,
Tmcc3os,0.004789395,NA,,,
RP23-89C10.2,0.004768019,NA,,,
Gm23199,0.004753833,NA,,,
Gpr84,0.004730772,NA,,,
Tmem259,0.004729125,0.96656425,,,
Eldr,0.004724551,0.987584313,,,
Trnau1ap,0.004723725,0.981678257,,,
RP23-335C3.10,0.00470279,NA,,,
Il1b,0.004696655,NA,,,
Zbtb8b,0.004686672,NA,,,
Pwwp2a,0.00462917,0.982773691,,,
Stat5b,0.004614642,0.978621606,,,
Platr1,0.004592589,NA,,,
Nell2,0.004589315,0.987728779,,,
Gm5819,0.004588704,NA,,,
Agps,0.004572603,0.966428572,,,
Brdt,0.004557706,NA,,,
Bcl7b,0.004543887,0.982245417,,,
Aplnr,0.004537578,NA,,,
Pigq,0.004509996,0.974545969,,,
Rab12,0.004509906,0.974677348,,,
Gm22953,0.004501801,NA,,,
Aldh1a3,0.004496234,NA,,,
RP23-35A4.1,0.004477425,NA,,,
RP23-283N14.2,0.004464764,NA,,,
RP23-262I3.4,0.004449282,NA,,,
Capn10,0.004385858,0.977453386,,,
Pbrm1,0.004380698,0.969165165,,,
Vps13c,0.004378775,0.978265862,,,
Gm25896,0.004375787,NA,,,
Smarcb1,0.004363823,0.971721859,,,
Col4a6,0.0043506,NA,,,
Pde6g,0.004338438,NA,,,
RP24-142E6.4,0.004324179,NA,,,
RP24-260D21.1,0.004318959,NA,,,
Preb,0.004310414,0.976139832,,,
Mat2b,0.004300108,0.974167388,,,
Lipt2,0.004299516,0.988452487,,,
Vat1,0.00429311,0.987274485,,,
Gpr37l1,0.00429023,NA,,,
RP23-243M12.5,0.004281515,NA,,,
Hsf5,0.004272885,NA,,,
Eml2,0.004227755,NA,,,
Ttc7,0.004227378,0.975498558,,,
RP23-278C10.3,0.00422572,NA,,,
Gm26722,0.004218283,NA,,,
Rer1,0.004203218,0.966116401,,,
Dclre1c,0.004186544,0.982105583,,,
4930444M15Rik,0.00418415,NA,,,
4930445N18Rik,0.00418415,NA,,,
AC068006.3,0.00418415,NA,,,
AC092202.4,0.00418415,NA,,,
AC102232.1,0.00418415,NA,,,
AC108433.2,0.00418415,NA,,,
AC109280.1,0.00418415,NA,,,
AC110211.1,0.00418415,NA,,,
AC111011.2,0.00418415,NA,,,
AC111067.3,0.00418415,NA,,,
AC113514.2,0.00418415,NA,,,
AC113586.1,0.00418415,NA,,,
AC114420.2,0.00418415,NA,,,
AC114618.3,0.00418415,NA,,,
AC120180.3,0.00418415,NA,,,
AC121967.1,0.00418415,NA,,,
AC122184.3,0.00418415,NA,,,
AC122221.2,0.00418415,NA,,,
AC122835.2,0.00418415,NA,,,
AC123848.4,0.00418415,NA,,,
AC125183.7,0.00418415,NA,,,
AC126445.2,0.00418415,NA,,,
AC127594.2,0.00418415,NA,,,
AC129603.2,0.00418415,NA,,,
AC131122.2,0.00418415,NA,,,
AC132327.8,0.00418415,NA,,,
AC133502.2,0.00418415,NA,,,
AC138386.1,0.00418415,NA,,,
AC145748.2,0.00418415,NA,,,
AC147806.3,0.00418415,NA,,,
AC148988.2,0.00418415,NA,,,
AC156554.3,0.00418415,NA,,,
AC157947.3,0.00418415,NA,,,
AC158786.1,0.00418415,NA,,,
AC161409.1,0.00418415,NA,,,
AC161600.4,0.00418415,NA,,,
AC162893.3,0.00418415,NA,,,
AC170806.5,0.00418415,NA,,,
AL669896.1,0.00418415,NA,,,
Abca6,0.00418415,NA,,,
Abcb4,0.00418415,NA,,,
Abra,0.00418415,NA,,,
Acpt,0.00418415,NA,,,
Acss3,0.00418415,NA,,,
Adad1,0.00418415,NA,,,
Adamts14,0.00418415,NA,,,
Adgrf1,0.00418415,NA,,,
Adgrg2,0.00418415,NA,,,
Adgrg5,0.00418415,NA,,,
Adm,0.00418415,NA,,,
Adora1,0.00418415,NA,,,
Adrb3,0.00418415,NA,,,
Adrbk2,0.00418415,NA,,,
Akr1c21,0.00418415,NA,,,
Akr1c6,0.00418415,NA,,,
Allc,0.00418415,NA,,,
Amigo2,0.00418415,NA,,,
Amy1,0.00418415,NA,,,
Ankar,0.00418415,NA,,,
Ankrd7,0.00418415,NA,,,
Ano4,0.00418415,NA,,,
Anxa10,0.00418415,NA,,,
Aqp1,0.00418415,NA,,,
Armcx4,0.00418415,NA,,,
Arxes1,0.00418415,NA,,,
Arxes2,0.00418415,NA,,,
Asb17os,0.00418415,NA,,,
Asb5,0.00418415,NA,,,
Ascl4,0.00418415,NA,,,
Ascl5,0.00418415,NA,,,
Atp1b2,0.00418415,NA,,,
Avpr2,0.00418415,NA,,,
B4galnt2,0.00418415,NA,,,
BC027072,0.00418415,NA,,,
Bach2os,0.00418415,NA,,,
Bche,0.00418415,NA,,,
Becn2,0.00418415,NA,,,
Bglap,0.00418415,NA,,,
Bhlhb9,0.00418415,NA,,,
Brinp1,0.00418415,NA,,,
Btk,0.00418415,NA,,,
C130032M10Rik,0.00418415,NA,,,
C4bp,0.00418415,NA,,,
C5ar2,0.00418415,NA,,,
C8b,0.00418415,NA,,,
CT7-BM104O10.3,0.00418415,NA,,,
Cabp5,0.00418415,NA,,,
Cacnb2,0.00418415,NA,,,
Cacng8,0.00418415,NA,,,
Cap2,0.00418415,NA,,,
Car5a,0.00418415,NA,,,
Casp16-ps,0.00418415,NA,,,
Cbln4,0.00418415,NA,,,
Ccdc172,0.00418415,NA,,,
Ccdc36,0.00418415,NA,,,
Ccdc60,0.00418415,NA,,,
Ccin,0.00418415,NA,,,
Cckbr,0.00418415,NA,,,
Ccl12,0.00418415,NA,,,
Ccr3,0.00418415,NA,,,
Ccr4,0.00418415,NA,,,
Ccr9,0.00418415,NA,,,
Cd209c,0.00418415,NA,,,
Cd209d,0.00418415,NA,,,
Cd2,0.00418415,NA,,,
Cd300lb,0.00418415,NA,,,
Cd70,0.00418415,NA,,,
Cd79b,0.00418415,NA,,,
Cdh2,0.00418415,NA,,,
Cdrt4,0.00418415,NA,,,
Ceacam1,0.00418415,NA,,,
Ceacam20,0.00418415,NA,,,
Cebpe,0.00418415,NA,,,
Cela3b,0.00418415,NA,,,
Celf6,0.00418415,NA,,,
Cep112os1,0.00418415,NA,,,
Ces2h,0.00418415,NA,,,
Cfap206,0.00418415,NA,,,
Cfap45,0.00418415,NA,,,
Cfi,0.00418415,NA,,,
Cga,0.00418415,NA,,,
Chil4,0.00418415,NA,,,
Chrna9,0.00418415,NA,,,
Chst1,0.00418415,NA,,,
Ciita,0.00418415,NA,,,
Cilp,0.00418415,NA,,,
Ckm,0.00418415,NA,,,
Cldn7,0.00418415,NA,,,
Clec1a,0.00418415,NA,,,
Cmbl,0.00418415,NA,,,
Cnga4,0.00418415,NA,,,
Cnn1,0.00418415,NA,,,
Col25a1,0.00418415,NA,,,
Col9a2,0.00418415,NA,,,
Crb1,0.00418415,NA,,,
Crybb1,0.00418415,NA,,,
Csrnp3,0.00418415,NA,,,
Cst12,0.00418415,NA,,,
Cstl1,0.00418415,NA,,,
Ctss,0.00418415,NA,,,
Cwh43,0.00418415,NA,,,
Cyct,0.00418415,NA,,,
Cyp19a1,0.00418415,NA,,,
Cyp1a2,0.00418415,NA,,,
Cyp26c1,0.00418415,NA,,,
Cyp2j13,0.00418415,NA,,,
Cyp2j5,0.00418415,NA,,,
Cypt12,0.00418415,NA,,,
D930032P07Rik,0.00418415,NA,,,
Dazl,0.00418415,NA,,,
Dchs2,0.00418415,NA,,,
Dclk3,0.00418415,NA,,,
Ddo,0.00418415,NA,,,
Defb41,0.00418415,NA,,,
Dhrs2,0.00418415,NA,,,
Dlk1,0.00418415,NA,,,
Dlx1as,0.00418415,NA,,,
Dnah7c,0.00418415,NA,,,
Dnah9,0.00418415,NA,,,
Dnase2b,0.00418415,NA,,,
Dpf3,0.00418415,NA,,,
Draxin,0.00418415,NA,,,
Drc7,0.00418415,NA,,,
Drd3,0.00418415,NA,,,
Dscaml1,0.00418415,NA,,,
Dupd1,0.00418415,NA,,,
Eddm3b,0.00418415,NA,,,
Efcab12,0.00418415,NA,,,
Ephb1,0.00418415,NA,,,
Ermap,0.00418415,NA,,,
F10,0.00418415,NA,,,
Fam159a,0.00418415,NA,,,
Fam183b,0.00418415,NA,,,
Fam19a2,0.00418415,NA,,,
Fam47e,0.00418415,NA,,,
Fam90a1b,0.00418415,NA,,,
Fbp1,0.00418415,NA,,,
Fcgr1,0.00418415,NA,,,
Fer1l5,0.00418415,NA,,,
Fer1l6,0.00418415,NA,,,
Ffar3,0.00418415,NA,,,
Ffar4,0.00418415,NA,,,
Fgf15,0.00418415,NA,,,
Fgf16,0.00418415,NA,,,
Filip1,0.00418415,NA,,,
Flg,0.00418415,NA,,,
Fmr1nb,0.00418415,NA,,,
Fndc8,0.00418415,NA,,,
Foxa3,0.00418415,NA,,,
Foxh1,0.00418415,NA,,,
Frmd3,0.00418415,NA,,,
Fshb,0.00418415,NA,,,
Gabra3,0.00418415,NA,,,
Gal3st2,0.00418415,NA,,,
Galr3,0.00418415,NA,,,
Gas2l2,0.00418415,NA,,,
Gast,0.00418415,NA,,,
Gdf5,0.00418415,NA,,,
Gh,0.00418415,NA,,,
Gipc3,0.00418415,NA,,,
Gip,0.00418415,NA,,,
Gja5,0.00418415,NA,,,
Gja6,0.00418415,NA,,,
Gjb1,0.00418415,NA,,,
Glb1l3,0.00418415,NA,,,
Gm10188,0.00418415,NA,,,
Gm10490,0.00418415,NA,,,
Gm10563,0.00418415,NA,,,
Gm10645,0.00418415,NA,,,
Gm10719,0.00418415,NA,,,
Gm10837,0.00418415,NA,,,
Gm10974,0.00418415,NA,,,
Gm11111,0.00418415,NA,,,
Gm17332,0.00418415,NA,,,
Gm17617,0.00418415,NA,,,
Gm21886,0.00418415,NA,,,
Gm21887,0.00418415,NA,,,
Gm22023,0.00418415,NA,,,
Gm22054,0.00418415,NA,,,
Gm22092,0.00418415,NA,,,
Gm22220,0.00418415,NA,,,
Gm22239,0.00418415,NA,,,
Gm22246,0.00418415,NA,,,
Gm22249,0.00418415,NA,,,
Gm22276,0.00418415,NA,,,
Gm22288,0.00418415,NA,,,
Gm22423,0.00418415,NA,,,
Gm22550,0.00418415,NA,,,
Gm22628,0.00418415,NA,,,
Gm22638,0.00418415,NA,,,
Gm22645,0.00418415,NA,,,
Gm22649,0.00418415,NA,,,
Gm22677,0.00418415,NA,,,
Gm22772,0.00418415,NA,,,
Gm22773,0.00418415,NA,,,
Gm22818,0.00418415,NA,,,
Gm22865,0.00418415,NA,,,
Gm22947,0.00418415,NA,,,
Gm22968,0.00418415,NA,,,
Gm22974,0.00418415,NA,,,
Gm22993,0.00418415,NA,,,
Gm22995,0.00418415,NA,,,
Gm23114,0.00418415,NA,,,
Gm23115,0.00418415,NA,,,
Gm23171,0.00418415,NA,,,
Gm23206,0.00418415,NA,,,
Gm23220,0.00418415,NA,,,
Gm23238,0.00418415,NA,,,
Gm23244,0.00418415,NA,,,
Gm23264,0.00418415,NA,,,
Gm23354,0.00418415,NA,,,
Gm23363,0.00418415,NA,,,
Gm23375,0.00418415,NA,,,
Gm23548,0.00418415,NA,,,
Gm23617,0.00418415,NA,,,
Gm23686,0.00418415,NA,,,
Gm23713,0.00418415,NA,,,
Gm23721,0.00418415,NA,,,
Gm23731,0.00418415,NA,,,
Gm23802,0.00418415,NA,,,
Gm23928,0.00418415,NA,,,
Gm23971,0.00418415,NA,,,
Gm24047,0.00418415,NA,,,
Gm24113,0.00418415,NA,,,
Gm24208,0.00418415,NA,,,
Gm24445,0.00418415,NA,,,
Gm24449,0.00418415,NA,,,
Gm24456,0.00418415,NA,,,
Gm24462,0.00418415,NA,,,
Gm24525,0.00418415,NA,,,
Gm24667,0.00418415,NA,,,
Gm24677,0.00418415,NA,,,
Gm24718,0.00418415,NA,,,
Gm24719,0.00418415,NA,,,
Gm24722,0.00418415,NA,,,
Gm24763,0.00418415,NA,,,
Gm24771,0.00418415,NA,,,
Gm24780,0.00418415,NA,,,
Gm24784,0.00418415,NA,,,
Gm24786,0.00418415,NA,,,
Gm24826,0.00418415,NA,,,
Gm24836,0.00418415,NA,,,
Gm24865,0.00418415,NA,,,
Gm24909,0.00418415,NA,,,
Gm24922,0.00418415,NA,,,
Gm24988,0.00418415,NA,,,
Gm25032,0.00418415,NA,,,
Gm25039,0.00418415,NA,,,
Gm25154,0.00418415,NA,,,
Gm25195,0.00418415,NA,,,
Gm25197,0.00418415,NA,,,
Gm25271,0.00418415,NA,,,
Gm25327,0.00418415,NA,,,
Gm25337,0.00418415,NA,,,
Gm25420,0.00418415,NA,,,
Gm25600,0.00418415,NA,,,
Gm25630,0.00418415,NA,,,
Gm25655,0.00418415,NA,,,
Gm25672,0.00418415,NA,,,
Gm25709,0.00418415,NA,,,
Gm25716,0.00418415,NA,,,
Gm25774,0.00418415,NA,,,
Gm25879,0.00418415,NA,,,
Gm25889,0.00418415,NA,,,
Gm25926,0.00418415,NA,,,
Gm25935,0.00418415,NA,,,
Gm25961,0.00418415,NA,,,
Gm26016,0.00418415,NA,,,
Gm26084,0.00418415,NA,,,
Gm26092,0.00418415,NA,,,
Gm26157,0.00418415,NA,,,
Gm26295,0.00418415,NA,,,
Gm26306,0.00418415,NA,,,
Gm26331,0.00418415,NA,,,
Gm26368,0.00418415,NA,,,
Gm26425,0.00418415,NA,,,
Gm26436,0.00418415,NA,,,
Gm26501,0.00418415,NA,,,
Gm26523,0.00418415,NA,,,
Gm26612,0.00418415,NA,,,
Gm26720,0.00418415,NA,,,
Gm26750,0.00418415,NA,,,
Gm26780,0.00418415,NA,,,
Gm26809,0.00418415,NA,,,
Gm26829,0.00418415,NA,,,
Gm26860,0.00418415,NA,,,
Gm27549,0.00418415,NA,,,
Gm27599,0.00418415,NA,,,
Gm27686,0.00418415,NA,,,
Gm27688,0.00418415,NA,,,
Gm27735,0.00418415,NA,,,
Gm27798,0.00418415,NA,,,
Gm27931,0.00418415,NA,,,
Gm27935,0.00418415,NA,,,
Gm28008,0.00418415,NA,,,
Gm44308,0.00418415,NA,,,
Gm44311,0.00418415,NA,,,
Gm44329,0.00418415,NA,,,
Gm44357,0.00418415,NA,,,
Gm44455,0.00418415,NA,,,
Gm44465,0.00418415,NA,,,
Gm47300,0.00418415,NA,,,
Gm6899,0.00418415,NA,,,
Gm9936,0.00418415,NA,,,
Gp1ba,0.00418415,NA,,,
Gpr141,0.00418415,NA,,,
Gpr162,0.00418415,NA,,,
Gpr22,0.00418415,NA,,,
Gprasp2,0.00418415,NA,,,
Gprin1,0.00418415,NA,,,
Gria3,0.00418415,NA,,,
Grip1os1,0.00418415,NA,,,
Grm4,0.00418415,NA,,,
Grpr,0.00418415,NA,,,
Gsdmc3,0.00418415,NA,,,
Gssos1,0.00418415,NA,,,
Gucy2c,0.00418415,NA,,,
Gulo,0.00418415,NA,,,
H1foo,0.00418415,NA,,,
H2-M10.2,0.00418415,NA,,,
H2-Ob,0.00418415,NA,,,
Haao,0.00418415,NA,,,
Haglr,0.00418415,NA,,,
Hbq1a,0.00418415,NA,,,
Hcrt,0.00418415,NA,,,
Hdac9,0.00418415,NA,,,
Hdgfl1,0.00418415,NA,,,
Heatr9,0.00418415,NA,,,
Hfm1,0.00418415,NA,,,
Hhatl,0.00418415,NA,,,
Hist1h2br,0.00418415,NA,,,
Hpcal4,0.00418415,NA,,,
Hsd17b13,0.00418415,NA,,,
Htr1a,0.00418415,NA,,,
Iapp,0.00418415,NA,,,
Ifna13,0.00418415,NA,,,
Igfbp1,0.00418415,NA,,,
Ighv1-64,0.00418415,NA,,,
Igkj3,0.00418415,NA,,,
Igkj5,0.00418415,NA,,,
Il20ra,0.00418415,NA,,,
Ip6k3,0.00418415,NA,,,
Islr,0.00418415,NA,,,
Ism1,0.00418415,NA,,,
Itgax,0.00418415,NA,,,
Itih2,0.00418415,NA,,,
Itih5,0.00418415,NA,,,
Jakmip3,0.00418415,NA,,,
Jph3,0.00418415,NA,,,
Kcne1l,0.00418415,NA,,,
Kcnj2,0.00418415,NA,,,
Kcnk9,0.00418415,NA,,,
Kcnmb3,0.00418415,NA,,,
Kctd19,0.00418415,NA,,,
Kdm4d,0.00418415,NA,,,
Kirrel3os,0.00418415,NA,,,
Klhl3,0.00418415,NA,,,
Klk1b4,0.00418415,NA,,,
Klk4,0.00418415,NA,,,
Klk9,0.00418415,NA,,,
Klra3,0.00418415,NA,,,
Krtap4-8,0.00418415,NA,,,
Lamp5,0.00418415,NA,,,
Lbp,0.00418415,NA,,,
Lce1m,0.00418415,NA,,,
Leap2,0.00418415,NA,,,
Lexm,0.00418415,NA,,,
Lhx4,0.00418415,NA,,,
Lilr4b,0.00418415,NA,,,
Lilra6,0.00418415,NA,,,
Lmo2,0.00418415,NA,,,
Lpo,0.00418415,NA,,,
Lrg1,0.00418415,NA,,,
Lrit3,0.00418415,NA,,,
Lrrc19,0.00418415,NA,,,
Lrrc23,0.00418415,NA,,,
Lrrc4b,0.00418415,NA,,,
Lrrc9,0.00418415,NA,,,
Lrriq4,0.00418415,NA,,,
Lrtm2,0.00418415,NA,,,
Ltb,0.00418415,NA,,,
Lurap1,0.00418415,NA,,,
Mab21l2,0.00418415,NA,,,
Magix,0.00418415,NA,,,
Maneal,0.00418415,NA,,,
Map3k7cl,0.00418415,NA,,,
Mapk15,0.00418415,NA,,,
Mapk8ip2,0.00418415,NA,,,
Matn3,0.00418415,NA,,,
Mboat4,0.00418415,NA,,,
Mertk,0.00418415,NA,,,
Mipepos,0.00418415,NA,,,
Mir103-1,0.00418415,NA,,,
Mir130c,0.00418415,NA,,,
Mir212,0.00418415,NA,,,
Mir218-1,0.00418415,NA,,,
Mir297a-4,0.00418415,NA,,,
Mir29b-1,0.00418415,NA,,,
Mir3068,0.00418415,NA,,,
Mir3473a,0.00418415,NA,,,
Mir3473d,0.00418415,NA,,,
Mir34b,0.00418415,NA,,,
Mir362,0.00418415,NA,,,
Mir466b-1,0.00418415,NA,,,
Mir466f-2,0.00418415,NA,,,
Mir466l,0.00418415,NA,,,
Mir484,0.00418415,NA,,,
Mir491,0.00418415,NA,,,
Mir504,0.00418415,NA,,,
Mir5123,0.00418415,NA,,,
Mir5128,0.00418415,NA,,,
Mir542,0.00418415,NA,,,
Mir5618,0.00418415,NA,,,
Mir5624,0.00418415,NA,,,
Mir6363,0.00418415,NA,,,
Mir6402,0.00418415,NA,,,
Mir6541,0.00418415,NA,,,
Mir669a-4,0.00418415,NA,,,
Mir669b,0.00418415,NA,,,
Mir669f,0.00418415,NA,,,
Mir6896,0.00418415,NA,,,
Mir6909,0.00418415,NA,,,
Mir6910,0.00418415,NA,,,
Mir6925,0.00418415,NA,,,
Mir6934,0.00418415,NA,,,
Mir6938,0.00418415,NA,,,
Mir6968,0.00418415,NA,,,
Mir6986,0.00418415,NA,,,
Mir7001,0.00418415,NA,,,
Mir7002,0.00418415,NA,,,
Mir7012,0.00418415,NA,,,
Mir7015,0.00418415,NA,,,
Mir7017,0.00418415,NA,,,
Mir7022,0.00418415,NA,,,
Mir7024,0.00418415,NA,,,
Mir7045,0.00418415,NA,,,
Mir7074,0.00418415,NA,,,
Mir7092,0.00418415,NA,,,
Mir7212,0.00418415,NA,,,
Mir7213,0.00418415,NA,,,
Mir7226,0.00418415,NA,,,
Mir7656,0.00418415,NA,,,
Mir7667,0.00418415,NA,,,
Mir8105,0.00418415,NA,,,
Mir8114,0.00418415,NA,,,
Mirg,0.00418415,NA,,,
Mixl1,0.00418415,NA,,,
Mlc1,0.00418415,NA,,,
Mmp20,0.00418415,NA,,,
Mos,0.00418415,NA,,,
Mroh5,0.00418415,NA,,,
Mroh9,0.00418415,NA,,,
Ms4a4c,0.00418415,NA,,,
Msl3l2,0.00418415,NA,,,
Muc4,0.00418415,NA,,,
Mxra7,0.00418415,NA,,,
Mxra8os,0.00418415,NA,,,
Mybpc2,0.00418415,NA,,,
Mybph,0.00418415,NA,,,
Myh7,0.00418415,NA,,,
Myoz2,0.00418415,NA,,,
Myt1l,0.00418415,NA,,,
Nanos3,0.00418415,NA,,,
Ncan,0.00418415,NA,,,
Ndnf,0.00418415,NA,,,
Necab1,0.00418415,NA,,,
Nfe2,0.00418415,NA,,,
Nkain4,0.00418415,NA,,,
Nkx3-1,0.00418415,NA,,,
Nlgn3,0.00418415,NA,,,
Nlrp1a,0.00418415,NA,,,
Nmrk2,0.00418415,NA,,,
Nobox,0.00418415,NA,,,
Nov,0.00418415,NA,,,
Npffr1,0.00418415,NA,,,
Nps,0.00418415,NA,,,
Nptx2,0.00418415,NA,,,
Nr2f1,0.00418415,NA,,,
Nrip2,0.00418415,NA,,,
Nrk,0.00418415,NA,,,
Ntrk3,0.00418415,NA,,,
Nxph2,0.00418415,NA,,,
Obox2,0.00418415,NA,,,
Odf3,0.00418415,NA,,,
Olah,0.00418415,NA,,,
Olfr1120,0.00418415,NA,,,
Olfr1124,0.00418415,NA,,,
Olfr1152,0.00418415,NA,,,
Olfr1167,0.00418415,NA,,,
Olfr1183,0.00418415,NA,,,
Olfr1217,0.00418415,NA,,,
Olfr1274-ps,0.00418415,NA,,,
Olfr127,0.00418415,NA,,,
Olfr1336,0.00418415,NA,,,
Olfr1351,0.00418415,NA,,,
Olfr1387,0.00418415,NA,,,
Olfr1390,0.00418415,NA,,,
Olfr1391,0.00418415,NA,,,
Olfr1392,0.00418415,NA,,,
Olfr1402,0.00418415,NA,,,
Olfr1443,0.00418415,NA,,,
Olfr1444,0.00418415,NA,,,
Olfr1447,0.00418415,NA,,,
Olfr1564,0.00418415,NA,,,
Olfr287,0.00418415,NA,,,
Olfr315,0.00418415,NA,,,
Olfr432,0.00418415,NA,,,
Olfr481,0.00418415,NA,,,
Olfr483,0.00418415,NA,,,
Olfr530,0.00418415,NA,,,
Olfr569,0.00418415,NA,,,
Olfr639,0.00418415,NA,,,
Olfr684,0.00418415,NA,,,
Olfr693,0.00418415,NA,,,
Olfr694,0.00418415,NA,,,
Olfr775,0.00418415,NA,,,
Olfr77,0.00418415,NA,,,
Olfr857,0.00418415,NA,,,
Olfr878,0.00418415,NA,,,
Olfr90,0.00418415,NA,,,
Olfr95,0.00418415,NA,,,
Ophn1,0.00418415,NA,,,
Oprk1,0.00418415,NA,,,
Optc,0.00418415,NA,,,
Otop3,0.00418415,NA,,,
P2rx5,0.00418415,NA,,,
P2ry13,0.00418415,NA,,,
Pabpc2,0.00418415,NA,,,
Pard3bos3,0.00418415,NA,,,
Patl2,0.00418415,NA,,,
Pax7,0.00418415,NA,,,
Pcdh10,0.00418415,NA,,,
Pcdh15,0.00418415,NA,,,
Pclo,0.00418415,NA,,,
Pex5l,0.00418415,NA,,,
Pga5,0.00418415,NA,,,
Phox2a,0.00418415,NA,,,
Pi16,0.00418415,NA,,,
Pik3c2g,0.00418415,NA,,,
Pirb,0.00418415,NA,,,
Pitpnm2os2,0.00418415,NA,,,
Pkd2l1,0.00418415,NA,,,
Pkhd1l1,0.00418415,NA,,,
Pkhd1,0.00418415,NA,,,
Pknox2,0.00418415,NA,,,
Pla2g2e,0.00418415,NA,,,
Plac8l1,0.00418415,NA,,,
Platr3,0.00418415,NA,,,
Pld6,0.00418415,NA,,,
Plk5,0.00418415,NA,,,
Pllp,0.00418415,NA,,,
Pln,0.00418415,NA,,,
Plpp7,0.00418415,NA,,,
Pon1,0.00418415,NA,,,
Pou2f2,0.00418415,NA,,,
Ppapdc1a,0.00418415,NA,,,
Ppargc1a,0.00418415,NA,,,
Ppp2r2cos,0.00418415,NA,,,
Pramef17,0.00418415,NA,,,
Prl7a2,0.00418415,NA,,,
Psma8,0.00418415,NA,,,
Ptch2,0.00418415,NA,,,
Ptprh,0.00418415,NA,,,
Ptprt,0.00418415,NA,,,
RP23-100A10.2,0.00418415,NA,,,
RP23-100C4.2,0.00418415,NA,,,
RP23-100C7.6,0.00418415,NA,,,
RP23-101D11.2,0.00418415,NA,,,
RP23-101D11.3,0.00418415,NA,,,
RP23-102G6.3,0.00418415,NA,,,
RP23-103I12.10,0.00418415,NA,,,
RP23-104J10.2,0.00418415,NA,,,
RP23-108F2.2,0.00418415,NA,,,
RP23-10A7.1,0.00418415,NA,,,
RP23-110O23.3,0.00418415,NA,,,
RP23-116D4.2,0.00418415,NA,,,
RP23-116G15.4,0.00418415,NA,,,
RP23-118H3.3,0.00418415,NA,,,
RP23-118L13.2,0.00418415,NA,,,
RP23-118L13.6,0.00418415,NA,,,
RP23-119D13.5,0.00418415,NA,,,
RP23-11G22.3,0.00418415,NA,,,
RP23-120C8.2,0.00418415,NA,,,
RP23-122B15.2,0.00418415,NA,,,
RP23-122F3.3,0.00418415,NA,,,
RP23-123I20.3,0.00418415,NA,,,
RP23-124H2.4,0.00418415,NA,,,
RP23-127F20.2,0.00418415,NA,,,
RP23-128G10.6,0.00418415,NA,,,
RP23-128L22.3,0.00418415,NA,,,
RP23-12I13.2,0.00418415,NA,,,
RP23-130L21.1,0.00418415,NA,,,
RP23-134H19.2,0.00418415,NA,,,
RP23-135A22.4,0.00418415,NA,,,
RP23-136A1.2,0.00418415,NA,,,
RP23-136A14.3,0.00418415,NA,,,
RP23-136C19.1,0.00418415,NA,,,
RP23-136I9.12,0.00418415,NA,,,
RP23-137L22.2,0.00418415,NA,,,
RP23-137L8.1,0.00418415,NA,,,
RP23-138K22.4,0.00418415,NA,,,
RP23-139P14.23,0.00418415,NA,,,
RP23-13G1.9,0.00418415,NA,,,
RP23-13K8.1,0.00418415,NA,,,
RP23-140I12.5,0.00418415,NA,,,
RP23-143M5.2,0.00418415,NA,,,
RP23-145F16.3,0.00418415,NA,,,
RP23-145G7.3,0.00418415,NA,,,
